Leaflet Link,Unuseable,Date,Constituency,Party,Leader Picture included,Leader mentioned,Party Logo,"Leaflet Style (Leaflet, Letter, Magazine, Newsletter, Newspaper, CV or Survey)",Opposition leader pictured,Opposition leader mentioned,"squeeze message",Does it include a graph?
https://electionleaflets.org/leaflets/8617,," Friday, 02 Jan, 2015.", South Holland and The Deepings,Conservative,no,no,no,Leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8618,,"Sunday, 04 Jan, 2015.",Shipley,UKIP,no,no,yes,Leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8619,,"Sunday, 04 Jan, 2015",Cambridge,Conservative,no,no,yes,no,no,no,no,no
https://electionleaflets.org/leaflets/8620,unuseable,too poor quality,too poor quality,too poor quality,too poor quality,too poor quality,too poor quality,too poor quality,too poor quality,too poor quality,,
https://electionleaflets.org/leaflets/8621,,"Friday, 09 Jan, 2015.",Cambridge,Liberal Democrats,no,no,no (in picture),Leaflet,yes,no,no,no
https://electionleaflets.org/leaflets/8622,,"Saturday, 10 Jan, 2015",Cambridge,Liberal Democrats,no,no,no,newspaper,yes,yes,yes,no
https://electionleaflets.org/leaflets/8623,,"Saturday, 10 Jan, 2014",Oxford West and Abingdon ,Liberal Democrats,no,no,no,personal letter,no,no,yes,no
https://electionleaflets.org/leaflets/8624,,"Wednesday, 14 Jan, 2015",Cambridge,Labour,yes,yes,yes,newspaper,yes,yes,no,no
https://electionleaflets.org/leaflets/8625,,"Thursday, 15 Jan, 2015",Tooting,Labour,no,no,yes,newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8626,,"Friday, 16 Jan, 2015",Oxford West and Abingdon ,Conservative,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8627,,"Saturday, 17 Jan, 2015",Cambridge,Labour,yes,yes,no,Newsletter,yes,yes,no,no
https://electionleaflets.org/leaflets/8628,,"Monday, 19 Jan, 2015",Cambridge,Labour,yes,no,yes,leaflet,yes,yes,no,no
https://electionleaflets.org/leaflets/8629,," Tuesday, 20 Jan 2015",Lancaster and Fleetwood ,Labour,no,no,yes,Newsletter,no,yes,yes,yes
https://electionleaflets.org/leaflets/8630,," Tuesday, 20 Jan, 2015.",Lancaster and Fleetwood ,Labour,no,no,yes,Newspaper,no,no,yes,yes
https://electionleaflets.org/leaflets/8631,,"Tuesday, 20 Jan, 2015",Witney ,Conservative,Yes,Yes,no,Newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8632,,"Tuesday, 20 Jan, 2015",City of Durham,Liberal Democrats,no,no,no,leaflet,no,no,yes,yes
https://electionleaflets.org/leaflets/8633,unuseable,"Wednesday, 21 Jan, 2015.",too poor quality,UKIP,too poor quality,too poor quality,too poor quality,too poor quality,too poor quality,too poor quality,,
https://electionleaflets.org/leaflets/8634,,"Thursday, 22 Jan, 2015",Watford,UKIP,no,no,yes,leaflet,yes,yes,no,no
https://electionleaflets.org/leaflets/8635,,"Thursday, 22 Jan, 2015",Witney,UKIP,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8636,,"Friday, 23 Jan, 2015",Wallasey,Conservative,no,no,yes,Newsletter,yes,no,no,no
https://electionleaflets.org/leaflets/8637,,"Friday, 23 Jan, 2014",Wallasey,Conservative,no,no,yes,Newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8638,,"Friday, 23 Jan, 2013",Eastleigh,Conservative,no,no,no,Leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8639,,"Saturday, 24 Jan, 2015",Wallasey ,Labour,no,no,yes,Newsletter,no,yes,no,no
https://electionleaflets.org/leaflets/8640,,"Monday, 26 Jan",Shrewsbury and Atcham ,UKIP,no,no,yes,Leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8641,,"Tuesday, 27 Jan",Bethnal Green and Bow,Conservative,no,no,yes,Newsletter,no,no,no,no
